date,event_code,goldstein,num_mentions,avg_tone,actor1,actor2,location,latitude,longitude,source_url
2025-11-03,110,-2.0,10,10,,FIGHTER,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,120,-4.0,4,4,POLICE,,Sudan,,16.0,SU
2025-11-03,60,6.0,2,2,MIGRANT,WORKER,Sudan,,16.0,SU
2025-11-03,60,6.0,2,2,SUDAN,,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,37,5.0,3,3,MOGADISHU,SUDAN,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,112,-2.0,10,10,US OFFICIAL,,"Geneina, Gharb Darfur, Sudan",37134,13.45,-1936
2025-11-03,190,-10.0,1,1,,SUDAN,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,25,-0.3,1,1,THE UN,,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,332,5.2,7,7,LIBYAN,SUDANESE,Sudan,,16.0,SU
2025-11-03,111,-2.0,2,2,SUDAN,,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,51,3.4,4,4,,SUDAN,"Nubia, Sudan (general), Sudan",37093,20.0,-12208
2025-11-03,43,2.8,7,7,,SUDANESE,"Blue Nile, An Nil al Azraq, Sudan",37041,11.15,315383
2025-11-03,120,-4.0,6,6,BRITISH,,"Nubia, Sudan (general), Sudan",37093,20.0,-12208
2025-11-03,10,0.0,10,10,WEBSITE,,Sudan,,16.0,SU
2025-11-03,20,3.0,5,5,ARCHBISHOP,CHRISTIAN,Sudan,,16.0,SU
2025-11-03,42,1.9,1,1,SUDANESE,SUDAN,"Blue Nile, An Nil al Azraq, Sudan",37041,11.15,315383
2025-11-03,20,3.0,3,3,IRAN,SUDAN,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,202,-10.0,4,4,SUDAN,IRAN,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,10,0.0,4,4,SUDAN,AGENCE FRANCE PRESS,"El Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,13,0.4,4,4,SUDAN,AGENCE FRANCE PRESS,"El Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,80,5.0,3,3,KORDOFAN,INTERNATIONAL ORGANIZATION FOR MIGRATION,"Kordofan, Shamal Kurdufan, Sudan",37089,13.0833,-9440
2025-11-03,30,4.0,8,8,PRESIDENT,NIGERIA,Sudan,,16.0,SU
2025-11-03,90,-2.0,5,5,MEDIA,DARFUR,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,46,7.0,2,2,SUDAN,SUDAN,Sudan,,16.0,SU
2025-11-03,111,-2.0,5,5,FIGHTER,,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-10-27,10,0.0,2,2,THE SECURITY COUNCIL,,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-10-27,173,-5.0,5,5,KORDOFAN,ARMY,"Kordofan, Shamal Kurdufan, Sudan",37089,13.0833,-9440
2025-10-27,192,-9.5,7,7,KORDOFAN,ARMY,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,203,-10.0,6,6,,MILITIA,"Geneina, Gharb Darfur, Sudan",37134,13.45,-1936
2025-11-03,16,-2.0,6,6,CHINA,,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-11-03,130,-4.4,1,1,KORDOFAN,NILE,"Blue Nile, An Nil al Azraq, Sudan",37041,11.15,315383
