isoab,name,pg_id,month_id,main_mean,main_mean_ln,main_dich
#country+code,#country+name,#priogrid+id,#date+month+id,#fatalities+pred+num,#fatalities+pred+ln+num,#fatalities+pred+prob
SDN,Sudan,152342,550,0.0287,0.0283,0.0173
SDN,Sudan,152343,550,0.0865,0.083,0.1181
SDN,Sudan,152344,550,0.1794,0.165,0.7372
SDN,Sudan,152345,550,3.995,1.6084,1.0
SDN,Sudan,152346,550,9.4977,2.3512,1.0
SDN,Sudan,152347,550,0.8918,0.6375,1.0
SDN,Sudan,152348,550,1.5229,0.9254,1.0
SDN,Sudan,152349,550,0.0976,0.0932,0.1633
SDN,Sudan,152350,550,0.0255,0.0252,0.0155
SDN,Sudan,152351,550,0.0155,0.0154,0.0108
SDN,Sudan,152352,550,0.0284,0.028,0.0171
SDN,Sudan,152353,550,0.0216,0.0213,0.0134
SDN,Sudan,153049,550,0.0547,0.0533,0.0426
SDN,Sudan,153050,550,0.1357,0.1273,0.409
SDN,Sudan,153051,550,1.3321,0.8468,1.0
SDN,Sudan,153052,550,0.1262,0.1188,0.336
SDN,Sudan,153053,550,0.0429,0.042,0.0285
SDN,Sudan,153054,550,0.0368,0.0361,0.023
SDN,Sudan,153055,550,0.0222,0.022,0.0137
SDN,Sudan,153056,550,0.0188,0.0186,0.0121
SDN,Sudan,153057,550,0.0208,0.0206,0.0131
SDN,Sudan,153058,550,0.0159,0.0158,0.011
SDN,Sudan,153059,550,0.0176,0.0175,0.0117
SDN,Sudan,153060,550,0.0167,0.0165,0.0113
SDN,Sudan,153061,550,0.0114,0.0114,0.0093
SDN,Sudan,153062,550,0.0143,0.0142,0.0103
SDN,Sudan,153063,550,0.0291,0.0287,0.0176
SDN,Sudan,153064,550,0.1322,0.1242,0.3817
SDN,Sudan,153065,550,1.83,1.0403,1.0
SDN,Sudan,153066,550,1.3521,0.8553,1.0
SDN,Sudan,153067,550,0.1416,0.1324,0.456
SDN,Sudan,153068,550,0.8148,0.596,1.0
SDN,Sudan,153069,550,0.0675,0.0653,0.065
SDN,Sudan,153070,550,0.0227,0.0225,0.014
SDN,Sudan,153071,550,0.0118,0.0117,0.0094
SDN,Sudan,153072,550,0.0094,0.0094,0.0086
SDN,Sudan,153073,550,0.012,0.0119,0.0095
SDN,Sudan,153074,550,0.0103,0.0103,0.0089
SDN,Sudan,153769,550,0.0351,0.0345,0.0217
SDN,Sudan,153770,550,0.0546,0.0531,0.0424
SDN,Sudan,153771,550,0.0877,0.0841,0.1223
SDN,Sudan,153772,550,0.0506,0.0493,0.037
SDN,Sudan,153773,550,0.0303,0.0298,0.0183
SDN,Sudan,153774,550,0.0227,0.0225,0.014
SDN,Sudan,153775,550,0.0155,0.0154,0.0108
SDN,Sudan,153776,550,0.0173,0.0172,0.0115
SDN,Sudan,153777,550,0.0159,0.0158,0.0109
SDN,Sudan,153778,550,0.016,0.0159,0.011
SDN,Sudan,153779,550,0.0136,0.0135,0.0101
SDN,Sudan,153780,550,0.0109,0.0108,0.0091
SDN,Sudan,153781,550,0.0153,0.0152,0.0107
SDN,Sudan,153782,550,0.0135,0.0134,0.01
SDN,Sudan,153783,550,0.0216,0.0214,0.0135
SDN,Sudan,153784,550,0.0544,0.0529,0.0421
SDN,Sudan,153785,550,0.1268,0.1194,0.3408
SDN,Sudan,153786,550,0.1318,0.1238,0.3783
SDN,Sudan,153787,550,0.0658,0.0637,0.0615
SDN,Sudan,153788,550,0.0966,0.0922,0.1585
SDN,Sudan,153789,550,0.04,0.0393,0.0258
SDN,Sudan,153790,550,0.0168,0.0166,0.0113
SDN,Sudan,153791,550,0.0089,0.0089,0.0085
SDN,Sudan,153792,550,0.0066,0.0066,0.0078
SDN,Sudan,153793,550,0.0072,0.0072,0.008
SDN,Sudan,153794,550,0.0072,0.0072,0.008
SDN,Sudan,154489,550,0.0237,0.0234,0.0145
SDN,Sudan,154490,550,0.0324,0.0319,0.0197
SDN,Sudan,154491,550,0.032,0.0315,0.0195
SDN,Sudan,154492,550,0.029,0.0286,0.0175
SDN,Sudan,154493,550,0.0208,0.0206,0.0131
SDN,Sudan,154494,550,0.017,0.0169,0.0114
SDN,Sudan,154495,550,0.0184,0.0182,0.012
SDN,Sudan,154496,550,0.0167,0.0165,0.0113
SDN,Sudan,154497,550,0.0155,0.0154,0.0108
SDN,Sudan,154498,550,0.0136,0.0135,0.0101
SDN,Sudan,154499,550,0.0104,0.0104,0.009
SDN,Sudan,154500,550,0.0105,0.0104,0.009
SDN,Sudan,154501,550,0.0167,0.0166,0.0113
SDN,Sudan,154502,550,0.0213,0.0211,0.0133
SDN,Sudan,154503,550,0.0216,0.0214,0.0134
SDN,Sudan,154504,550,0.0209,0.0207,0.0131
SDN,Sudan,154505,550,0.0263,0.0259,0.0159
SDN,Sudan,154506,550,0.0282,0.0278,0.017
SDN,Sudan,154507,550,0.0364,0.0358,0.0227
SDN,Sudan,154508,550,0.0977,0.0932,0.1635
SDN,Sudan,154509,550,0.0382,0.0375,0.0241
SDN,Sudan,154510,550,0.0162,0.0161,0.0111
SDN,Sudan,154511,550,0.0085,0.0085,0.0084
SDN,Sudan,154512,550,0.0062,0.0062,0.0077
SDN,Sudan,154513,550,0.0091,0.009,0.0085
SDN,Sudan,154514,550,0.0101,0.01,0.0089
SDN,Sudan,154515,550,0.0101,0.0101,0.0089
SDN,Sudan,155209,550,0.0183,0.0181,0.0119
SDN,Sudan,155210,550,0.0239,0.0236,0.0146
SDN,Sudan,155211,550,0.0224,0.0222,0.0138
SDN,Sudan,155212,550,0.0225,0.0222,0.0139
SDN,Sudan,155213,550,0.0164,0.0163,0.0111
SDN,Sudan,155214,550,0.0174,0.0172,0.0115
SDN,Sudan,155215,550,0.0165,0.0164,0.0112
SDN,Sudan,155216,550,0.0144,0.0143,0.0104
SDN,Sudan,155217,550,0.0121,0.0121,0.0095
SDN,Sudan,155218,550,0.009,0.0089,0.0085
SDN,Sudan,155219,550,0.0119,0.0118,0.0095
SDN,Sudan,155220,550,0.0126,0.0125,0.0097
SDN,Sudan,155221,550,0.0247,0.0244,0.015
SDN,Sudan,155222,550,0.0501,0.0489,0.0365
SDN,Sudan,155223,550,0.033,0.0325,0.0201
SDN,Sudan,155224,550,0.0213,0.0211,0.0133
SDN,Sudan,155225,550,0.0141,0.014,0.0103
SDN,Sudan,155226,550,0.0229,0.0226,0.0141
SDN,Sudan,155227,550,0.0923,0.0883,0.1401
SDN,Sudan,155228,550,0.269,0.2382,0.977
SDN,Sudan,155229,550,0.0563,0.0548,0.0449
SDN,Sudan,155230,550,0.013,0.0129,0.0099
SDN,Sudan,155231,550,0.0091,0.009,0.0085
SDN,Sudan,155232,550,0.0095,0.0095,0.0087
SDN,Sudan,155233,550,0.0115,0.0115,0.0093
SDN,Sudan,155234,550,0.012,0.0119,0.0095
SDN,Sudan,155235,550,0.0156,0.0155,0.0108
SDN,Sudan,155236,550,0.0099,0.0099,0.0088
SDN,Sudan,155237,550,0.0066,0.0066,0.0078
SDN,Sudan,155929,550,0.0099,0.0099,0.0088
SDN,Sudan,155930,550,0.0124,0.0123,0.0096
SDN,Sudan,155931,550,0.0149,0.0148,0.0105
SDN,Sudan,155932,550,0.0144,0.0143,0.0104
SDN,Sudan,155933,550,0.015,0.0148,0.0106
SDN,Sudan,155934,550,0.0146,0.0144,0.0104
SDN,Sudan,155935,550,0.013,0.0129,0.0099
SDN,Sudan,155936,550,0.0103,0.0102,0.0089
SDN,Sudan,155937,550,0.0084,0.0083,0.0083
SDN,Sudan,155938,550,0.0076,0.0076,0.0081
SDN,Sudan,155939,550,0.0097,0.0096,0.0087
SDN,Sudan,155940,550,0.0127,0.0126,0.0097
SDN,Sudan,155941,550,0.0624,0.0606,0.0551
SDN,Sudan,155942,550,1.0327,0.7094,1.0
SDN,Sudan,155943,550,0.0681,0.0659,0.0664
SDN,Sudan,155944,550,0.0296,0.0292,0.0179
SDN,Sudan,155945,550,0.0134,0.0133,0.01
SDN,Sudan,155946,550,0.0183,0.0181,0.0119
SDN,Sudan,155947,550,0.0259,0.0256,0.0157
SDN,Sudan,155948,550,0.0549,0.0535,0.0429
SDN,Sudan,155949,550,0.0226,0.0223,0.0139
SDN,Sudan,155950,550,0.0126,0.0125,0.0097
SDN,Sudan,155951,550,0.0087,0.0087,0.0084
SDN,Sudan,155952,550,0.0103,0.0103,0.0089
SDN,Sudan,155953,550,0.0121,0.012,0.0095
SDN,Sudan,155954,550,0.0281,0.0277,0.0169
SDN,Sudan,155955,550,0.0129,0.0128,0.0098
SDN,Sudan,155956,550,0.0098,0.0098,0.0088
SDN,Sudan,155957,550,0.008,0.0079,0.0082
SDN,Sudan,155958,550,0.0059,0.0058,0.0076
SDN,Sudan,156649,550,0.0086,0.0086,0.0084
SDN,Sudan,156650,550,0.0087,0.0086,0.0084
SDN,Sudan,156651,550,0.0089,0.0089,0.0085
SDN,Sudan,156652,550,0.0092,0.0092,0.0086
SDN,Sudan,156653,550,0.0093,0.0093,0.0086
SDN,Sudan,156654,550,0.0091,0.009,0.0085
SDN,Sudan,156655,550,0.0077,0.0077,0.0081
SDN,Sudan,156656,550,0.0072,0.0071,0.008
SDN,Sudan,156657,550,0.0071,0.0071,0.0079
SDN,Sudan,156658,550,0.0085,0.0085,0.0084
SDN,Sudan,156659,550,0.011,0.011,0.0092
SDN,Sudan,156660,550,0.0123,0.0122,0.0096
SDN,Sudan,156661,550,0.0172,0.017,0.0115
